image : 1
[42.2744   14.180386 42.2744  ]
[43.42337  15.871625 43.42337 ]

image : 2
[32.003113 28.413597 32.003113]
[34.60871 33.59176 34.60871]

image : 3
[22.394089 14.87887  22.394089]
[26.436733 15.780573 26.436733]

image : 4
[48.794632 13.952631 48.794632]
[48.06105  29.951376 19.866571]

image : 5
[39.13542 16.55299 39.13542]
[41.52433  19.010553 41.52433 ]

image : 6
[52.344254 15.482217 19.162916]
[49.586323  7.282329 49.586323]

image : 7
[53.68799  12.872836 53.68799 ]
[53.320274 13.641948 53.320274]

image : 8
[52.797043 14.008199 52.797043]
[55.437675 11.448316 31.692333]

image : 9
[33.993557 16.927105 33.993557]
[32.927067 15.759362 32.927067]

image : 10
[54.408585 25.925806 23.062017]
[52.848015 18.09495  52.848015]

image : 11
[28.818846 13.505736  8.865722]
[27.372326 13.870786 27.372326]

image : 12
[68.231995 20.5526   68.231995]
[72.293976 19.666752 38.1091  ]

image : 13
[65.6891   20.817123 25.68047 ]
[80.77055  19.289234 47.13491 ]

image : 14
[28.860647   6.9754143 28.860647 ]
[37.11413  11.176706 37.11413 ]

image : 15
[39.165607 15.319753 39.165607]
[40.172745 12.840898 40.172745]

image : 16
[38.150345 13.947262 38.150345]
[46.13828  15.795321 46.13828 ]

image : 17
[41.775845 12.161342 41.775845]
[42.281715 16.976114 42.281715]

image : 18
[38.689613 17.527058 38.689613]
[44.343822 19.24898  44.343822]

image : 19
[3.2191666e+01 1.9782342e-02 3.2191666e+01]
[35.073498   0.9285166  8.147    ]

image : 20
[34.20378    2.6930454  9.729528 ]
[38.72602   4.013028  4.783522]

image : 21
[32.584103    0.49928528 32.584103  ]
[36.239113  0.       36.239113]

image : 22
[35.494118 33.47519  35.494118]
[39.932156 38.52659  39.932156]

image : 23
[38.4891     2.6123195 38.4891   ]
[41.670692   0.4751895 41.670692 ]

image : 24
[41.516865 19.968464 17.637444]
[44.162506 18.397087 44.162506]

image : 25
[40.275524 16.791124 40.275524]
[41.08286  17.512379 19.412203]

image : 26
[34.360313 12.783517 34.360313]
[36.84405  13.084851 36.84405 ]

image : 27
[14.866204  7.909144 14.866204]
[11.732334   7.6203003 11.732334 ]

image : 28
[11.356225  6.730709 11.356225]
[11.594301  8.450895 11.594301]

image : 29
[16.45622   9.414443 16.45622 ]
[9.76505  6.696121 9.76505 ]

image : 30
[18.346172 10.237485 18.346172]
[14.839333 11.336645 14.839333]

image : 31
[55.024857 41.323063 55.024857]
[53.21546 44.77159 53.21546]

image : 32
[56.198215 44.00898  56.198215]
[57.68814  48.546036 57.68814 ]

image : 33
[58.93159  43.350117 58.93159 ]
[64.7855   46.901337 64.7855  ]

image : 34
[47.963726 21.95683  47.963726]
[46.155437 23.192268 46.155437]

image : 35
[55.9805    14.914101   2.1004026]
[59.534107 13.197241 59.534107]

image : 36
[62.213333 26.86948   8.896028]
[61.015438 24.754316 13.965797]

image : 37
[56.607018 35.321568 56.607018]
[55.31129  40.749157 55.31129 ]

image : 38
[26.977846   2.4523199 26.977846 ]
[26.723497   6.0564094 26.723497 ]

image : 39
[53.690605  6.241333 53.690605]
[17.086985 15.30558  17.086985]

image : 40
[14.249339  0.       14.249339]
[15.209026   0.         2.6404908]

image : 41
[18.49622  12.924912 18.49622 ]
